Year,Team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2019,Crystal Palace,2022-08-05,20:00,Premier League,Matchweek 1,Fri,Away,W,2.0,0.0,Crystal Palace,1.0,1.2,44.0,25286.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,1.0,10.0,2.0,20.0,0.1,0.5,14.6,1.0,0.0,0.0,1.0,0.1,0.0,0.0,2.0,2.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,8.0,15.0,53.3,4.0,46.7,36.5,16.0,2.0,12.5,1.0,15.7
2019,Crystal Palace,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,2.0,Leicester City,2.7,0.5,50.0,60033.0,Martin Ødegaard,4-3-3,Darren England,Match Report,,4.0,19.0,7.0,36.8,0.21,0.57,13.0,0.0,0.0,0.0,2.7,0.16,1.3,1.3,2.0,1.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,5.0,13.0,38.5,3.0,43.5,37.3,6.0,0.0,0.0,1.0,17.0
2019,Crystal Palace,2022-08-20,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,0.0,Bournemouth,1.3,0.3,57.0,10423.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,,3.0,14.0,6.0,42.9,0.21,0.5,14.8,0.0,0.0,0.0,1.3,0.1,1.7,1.7,1.0,1.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,5.0,13.0,38.5,2.0,39.1,33.6,12.0,0.0,0.0,0.0,7.0
2019,Crystal Palace,2022-08-27,17:30,Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,Fulham,2.6,0.8,71.0,60164.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,,2.0,22.0,8.0,36.4,0.09,0.25,15.5,1.0,0.0,0.0,2.6,0.12,-0.6,-0.6,3.0,2.0,66.7,0.0,1.1,0.1,0.0,0.0,0.0,3.0,10.0,30.0,5.0,31.8,30.8,10.0,2.0,20.0,0.0,14.5
2019,Crystal Palace,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,2.0,1.0,Aston Villa,2.4,0.4,59.0,60012.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,2.0,22.0,8.0,36.4,0.09,0.25,16.3,1.0,0.0,0.0,2.4,0.12,-0.4,-0.4,3.0,2.0,66.7,0.0,0.2,-0.8,0.0,0.0,0.0,3.0,13.0,23.1,9.0,40.9,37.6,9.0,0.0,0.0,0.0,
2019,Crystal Palace,2022-09-04,16:30,Premier League,Matchweek 6,Sun,Away,L,1.0,3.0,Manchester Utd,1.3,1.5,60.0,73431.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,1.0,16.0,3.0,18.8,0.06,0.33,18.6,1.0,0.0,0.0,1.3,0.08,-0.3,-0.3,6.0,3.0,50.0,0.0,3.1,0.1,0.0,0.0,0.0,7.0,18.0,38.9,7.0,42.1,35.6,6.0,0.0,0.0,3.0,19.5
2019,Crystal Palace,2022-09-08,18:45,Europa Lg,Group stage,Thu,Away,W,2.0,1.0,ch Zürich,2.3,1.2,69.0,17070.0,Granit Xhaka,4-3-3,Mohammed Al Hakim,Match Report,,2.0,18.0,8.0,44.4,0.11,0.25,15.4,0.0,0.0,0.0,2.3,0.13,-0.3,-0.3,3.0,2.0,100.0,0.0,1.2,0.2,1.0,0.0,0.0,6.0,14.0,42.9,5.0,33.3,33.3,11.0,1.0,9.1,1.0,10.0
2019,Crystal Palace,2022-09-11,14:00,Premier League,Matchweek 7,Sun,Home,,,,Everton,,,,,,,,,Match Postponed,3.0,13.0,7.0,53.8,0.23,0.43,18.2,0.0,0.0,0.0,1.5,0.12,1.5,1.5,2.0,2.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,2.0,15.0,13.3,4.0,45.0,36.9,14.0,1.0,7.1,0.0,2.0
2019,Crystal Palace,2022-09-18,12:00,Premier League,Matchweek 8,Sun,Away,W,3.0,0.0,Brentford,1.5,0.5,63.0,17122.0,Granit Xhaka,4-3-3,David Coote,Match Report,,3.0,22.0,9.0,40.9,0.14,0.33,18.6,1.0,0.0,0.0,2.4,0.11,0.6,0.6,3.0,2.0,100.0,0.0,1.1,0.1,1.0,0.0,0.0,5.0,9.0,55.6,4.0,38.9,35.5,5.0,0.0,0.0,2.0,13.3
2019,Crystal Palace,2022-10-01,12:30,Premier League,Matchweek 9,Sat,Home,W,3.0,1.0,Tottenham,2.4,1.6,64.0,60278.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,3.0,18.0,6.0,33.3,0.17,0.5,14.7,1.0,0.0,0.0,3.4,0.19,-0.4,-0.4,3.0,3.0,100.0,1.0,0.5,0.5,0.0,0.0,0.0,5.0,15.0,33.3,3.0,46.7,35.5,4.0,1.0,25.0,0.0,9.7
